reference	hypothesis
پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
کہانی سݨاوݨ ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سݨاوݨ ثقافت تے علم کوں محفوظ رکھیندے۔
بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
استاد نوجوان ذہناں کوں شکل ݙیندے نیں۔	استاد نوجوان ذہناں کوں شکل ݙیندے نیں۔
اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
ہتھکاریاں فنکارانہ روایات ݙکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات ݙکھیندیاں نیں۔
کرکٹ ہک مقبول کھیڈ اے۔	کرکٹ ہک مقبول کھیڈ اے۔
لوک مذہبی تھانواں ݙیکھݨ کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں ݙیکھݨ کیتے لمبیاں دوریاں طے کریندے نیں۔
خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔
لوک مذہبی تھانواں ݙیکھݨ کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں ݙیکھݨ کیتے لمبیاں دوریاں طے کریندے نیں۔
استاد نوجوان ذہناں کوں شکل ݙیندے نیں۔	استاد نوجوان ذہناں کوں شکل ݙیندے نیں۔
شہراں وچ آلودگی ہک سنجیدہ مسئلہ بݨ گئی اے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بݨ گئی اے۔
نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔	نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
لوک وݙی خوشی نال میلے منیندے نیں۔	لوک وݙی خوشی نال میلے منیندے نیں۔
شادی دی تقریب ترئے ݙینہہ چلی۔	شادی دی تقریب ترئے ݙینہہ چلی۔
ڈاکٹر مریضاں دا علاج کرݨ کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرݨ کیتے لمبیاں گھڑیاں کم کریندے نیں۔
بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔
اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
روایتی موسیقی ساݙی ورثے کیتے اہم اے۔	روایتی موسیقی ساݙی ورثے کیتے اہم اے۔
میری دادی نے مینوں کہانیاں سݨایاں۔	میری دادی نے مینوں کہانیاں سݨایاں۔
اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔	اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔
اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔	اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔
تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔
پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔	اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔
خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔
آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
میری دادی نے مینوں کہانیاں سݨایاں۔	میری دادی نے مینوں کہانیاں سݨایاں۔
اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔	اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔
خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔
اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
تازہ پھل کھاݨ ضروری وٹامن فراہم کریندے۔	تازہ پھل کھاݨ ضروری وٹامن فراہم کریندے۔
طالب علم لائبریری وچ گڈے تھئے۔	طالب علم لائبریری وچ گڈے تھئے۔
اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔	اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔
شادی دی تقریب ترئے ݙینہہ چلی۔	شادی دی تقریب ترئے ݙینہہ چلی۔
شہراں وچ آلودگی ہک سنجیدہ مسئلہ بݨ گئی اے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بݨ گئی اے۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
لوک مذہبی تھانواں ݙیکھݨ کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں ݙیکھݨ کیتے لمبیاں دوریاں طے کریندے نیں۔
نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔	نوی زبان سکھݨ کیتے مشق دی لوڑ اے۔
کتاباں پڑھݨ ذخیرہ الفاظ بہتر بݨیندے۔	کتاباں پڑھݨ ذخیرہ الفاظ بہتر بݨیندے۔
دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
روایتی موسیقی ساݙی ورثے کیتے اہم اے۔	روایتی موسیقی ساݙی ورثے کیتے اہم اے۔
سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
لوک وݙی خوشی نال میلے منیندے نیں۔	لوک وݙی خوشی نال میلے منیندے نیں۔
بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔
بزرگاں دا احترام ہک اہم قدر اے۔	بزرگاں دا احترام ہک اہم قدر اے۔
روایتی موسیقی ساݙی ورثے کیتے اہم اے۔	روایتی موسیقی ساݙی ورثے کیتے اہم اے۔
کرکٹ ہک مقبول کھیڈ اے۔	کرکٹ ہک مقبول کھیڈ اے۔
ڈاکٹر گھنے پاݨی پیوݨ دی صلاح ݙیندے نیں۔	ڈاکٹر گھنے پاݨی پیوݨ دی صلاح ݙیندے نیں۔
صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔
بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
منظم ورزش چنگی صحت برقرار رکھݨ وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھݨ وچ مدد کریندی اے۔
لوک مذہبی تھانواں ݙیکھݨ کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں ݙیکھݨ کیتے لمبیاں دوریاں طے کریندے نیں۔
تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
شادی دی تقریب ترئے ݙینہہ چلی۔	شادی دی تقریب ترئے ݙینہہ چلی۔
اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
استاد نوجوان ذہناں کوں شکل ݙیندے نیں۔	استاد نوجوان ذہناں کوں شکل ݙیندے نیں۔
ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
استاد نوجوان ذہناں کوں شکل ݙیندے نیں۔	استاد نوجوان ذہناں کوں شکل ݙیندے نیں۔
گڈے کھاݨ پکاوݨ خاندان دے ممبراں کوں نیڑے لیندے۔	گڈے کھاݨ پکاوݨ خاندان دے ممبراں کوں نیڑے لیندے۔
بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔	اساں پراݨے مندر ݙیکھݨ دا فیصلہ کیتا۔
والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔
جنگل گھنے جنگلی جانوراں دا گھر اے۔	جنگل گھنے جنگلی جانوراں دا گھر اے۔
استاد نوجوان ذہناں کوں شکل ݙیندے نیں۔	استاد نوجوان ذہناں کوں شکل ݙیندے نیں۔
شہراں وچ آلودگی ہک سنجیدہ مسئلہ بݨ گئی اے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بݨ گئی اے۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
بزرگاں دا احترام ہک اہم قدر اے۔	بزرگاں دا احترام ہک اہم قدر اے۔
بازار لوکاں نال بھریا ہویا ہا۔	بازار لوکاں نال بھریا ہویا ہا۔
والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔
اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
مصالحے روایتی کھاݨاں وچ ذائقہ وݙیندے نیں۔	مصالحے روایتی کھاݨاں وچ ذائقہ وݙیندے نیں۔
روایتی موسیقی ساݙی ورثے کیتے اہم اے۔	روایتی موسیقی ساݙی ورثے کیتے اہم اے۔
کرکٹ ہک مقبول کھیڈ اے۔	کرکٹ ہک مقبول کھیڈ اے۔
والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔
طالب علم لائبریری وچ گڈے تھئے۔	طالب علم لائبریری وچ گڈے تھئے۔
کرکٹ ہک مقبول کھیڈ اے۔	کرکٹ ہک مقبول کھیڈ اے۔
شادی دی تقریب ترئے ݙینہہ چلی۔	شادی دی تقریب ترئے ݙینہہ چلی۔
صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔
خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔
اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
کہانی سݨاوݨ ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سݨاوݨ ثقافت تے علم کوں محفوظ رکھیندے۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
سکول نے سائنس میلہ منظم کیتا۔	سکول نے سائنس میلہ منظم کیتا۔
تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
اپݨا کم مکمل کرݨ دے بعد، او بیٹھ گیا۔	اپݨا کم مکمل کرݨ دے بعد، او بیٹھ گیا۔
اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
ڈاکٹر گھنے پاݨی پیوݨ دی صلاح ݙیندے نیں۔	ڈاکٹر گھنے پاݨی پیوݨ دی صلاح ݙیندے نیں۔
منظم ورزش چنگی صحت برقرار رکھݨ وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھݨ وچ مدد کریندی اے۔
شہراں وچ آلودگی ہک سنجیدہ مسئلہ بݨ گئی اے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بݨ گئی اے۔
